group,subject,subjectType,condition,PS1,PS2,PS3,M1,M2,OE1,OE2,PTDP1,PTDP2,PTDP3,PTDP4,PTDP5,PTDP6,PDOQ1,PDOQ2,PDOQ3,PDOQ4,PDOQ5,PA1,PA2,PA3,PA4,NASA1,NASA2,NASA3,NASA4,NASA5,NASA6
1,1,majority,A,5,4,5,3,4,4,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,4,4,3,3,5,4,5
1,1,majority,B,6,5,5,3,2,5,5,6,5,6,5,5,6,5,6,5,6,6,6,6,6,6,2,2,3,5,5,6
1,2,majority,A,4,5,4,3,3,5,5,4,4,5,5,4,4,4,5,4,4,4,5,4,5,5,4,4,3,4,5,4
1,2,majority,B,5,5,6,3,3,5,6,5,5,5,6,6,6,5,6,5,5,6,5,6,6,5,2,2,2,5,6,5
1,3,majority,A,5,5,4,4,4,4,5,4,5,5,4,5,4,4,4,4,5,5,5,4,4,4,3,3,3,4,5,4
1,3,majority,B,6,6,6,3,2,6,5,5,5,6,6,5,6,5,5,6,5,5,5,6,5,6,2,3,2,5,6,5
1,4,minority,A,3,3,4,5,5,3,4,4,3,3,4,4,3,4,3,4,4,4,3,4,3,3,5,5,5,4,3,4
1,4,minority,B,4,4,4,4,4,5,4,4,4,5,4,4,5,4,4,4,5,4,4,5,5,5,4,4,4,5,4,4
2,5,majority,A,4,5,4,3,3,5,5,4,4,5,4,4,5,5,5,4,5,4,5,4,4,4,4,4,4,5,4,5
2,5,majority,B,5,5,6,3,2,6,5,5,5,6,5,5,6,5,6,6,6,6,6,6,5,5,2,2,3,6,6,6
2,6,majority,A,5,5,4,4,3,4,4,4,4,5,4,4,4,4,4,5,5,5,4,5,5,4,4,4,3,5,4,4
2,6,majority,B,6,6,6,3,2,5,6,5,5,5,6,5,5,6,5,5,6,5,6,6,6,6,3,2,2,5,5,6
2,7,majority,A,5,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,3,3,3,4,4,4
2,7,majority,B,6,5,6,2,3,6,5,6,6,6,6,6,5,6,6,6,5,5,5,5,6,5,2,2,3,5,5,5
2,8,minority,A,4,4,4,4,5,4,4,3,3,4,4,3,4,3,4,3,3,4,3,4,4,3,4,5,5,4,3,4
2,8,minority,B,4,4,5,4,3,4,4,5,4,5,5,4,5,4,4,5,4,5,4,5,5,4,3,4,4,4,5,4
3,9,majority,A,5,5,5,3,3,5,5,4,4,5,4,4,5,4,5,5,5,5,5,4,4,5,3,4,4,4,4,4
3,9,majority,B,5,5,5,3,2,5,5,6,6,6,5,5,6,5,5,5,6,5,6,5,5,5,2,3,3,6,5,6
3,10,majority,A,4,5,5,3,4,5,5,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,3,3,5,5,5
3,10,majority,B,5,5,6,3,2,6,6,6,6,6,6,5,6,6,5,6,6,6,5,5,5,6,2,3,2,6,6,5
3,11,majority,A,5,5,4,3,3,5,4,5,4,5,5,5,4,5,4,4,5,4,4,4,5,4,3,4,3,5,4,5
3,11,majority,B,6,5,5,3,3,6,5,6,6,5,6,5,6,6,5,5,6,6,6,6,5,6,2,2,3,6,5,5
3,12,minority,A,3,3,4,5,4,3,4,3,3,3,4,4,3,3,3,4,4,4,3,3,4,4,5,5,5,4,3,3
3,12,minority,B,4,4,4,3,4,5,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,4
